target_action,model_family,w1,cramer_l2,cf_l2_w
gaussian_action,mog,0.009525781413598538,1.495545409842415e-05,1.0275627028350067e-05
gaussian_action,moc,0.2888662055892134,0.003640830224688505,0.003941564392617526
gaussian_action,mogamma,1.2785281359777327,0.6239284893527601,0.6254796788648594
cauchy_action,mog,0.14484903037587854,0.000907281779442918,0.00038686349979167174
cauchy_action,moc,0.03605752704710904,7.056647974676205e-05,6.164604752119817e-05
cauchy_action,mogamma,6.106820272799018,1.60463005365364,0.39633899409413503
gamma_action,mog,0.08146406091112898,0.00048034039607714835,0.0004841765056798503
gamma_action,moc,0.45296663786257446,0.008122941859538331,0.00903787609835656
gamma_action,mogamma,0.026549551961379765,0.00043701287506269616,0.0004152919983489994
