step,cramer_l2_dirac,cf_l2_w_dirac,cramer_l2_dirac_std,cf_l2_w_dirac_std
1000.0,0.06437205512284398,0.057355565766424844,0.0,0.0
2000.0,0.030981560521372586,0.027574677641909535,0.0,0.0
3000.0,0.019478765695194536,0.017567534825924783,0.0,0.0
4000.0,0.04376147827093199,0.037653354675287576,0.0,0.0
5000.0,0.0816282088347688,0.06916234032032695,0.0,0.0
6000.0,0.08647413840552137,0.07385805762371478,0.0,0.0
7000.0,0.08086625376846389,0.06847121405541326,0.0,0.0
8000.0,0.1841661786590041,0.15491286854586636,0.0,0.0
9000.0,0.0585945306531277,0.054513304410187674,0.0,0.0
10000.0,0.13381255638530676,0.11225003262546218,0.0,0.0
11000.0,0.10385368151361546,0.08891210590899991,0.0,0.0
12000.0,0.13879184434168054,0.11745912558030708,0.0,0.0
13000.0,0.1462663173856848,0.12492354516680927,0.0,0.0
14000.0,0.11545632750796464,0.10285784725357339,0.0,0.0
15000.0,0.20359005653547296,0.19564870049799654,0.0,0.0
16000.0,0.07228274704447507,0.06510253944520773,0.0,0.0
17000.0,0.06984704341498235,0.0654091906240391,0.0,0.0
18000.0,0.11470431798521183,0.0979699096613065,0.0,0.0
19000.0,0.09553081151493181,0.08643442618983826,0.0,0.0
20000.0,0.05693898247086247,0.052667512286130785,0.0,0.0
