step,cramer_l2_phi_mog,cf_l2_w_phi_mog,cramer_l2_phi_mog_std,cf_l2_w_phi_mog_std
1000.0,0.0021693450549388933,0.002081529588008531,0.0,0.0
2000.0,0.0008834647166287051,0.0007737154423399777,0.0,0.0
3000.0,0.000985269196050648,0.0008664973357927003,0.0,0.0
4000.0,0.0004480192498910199,0.0004109566394369852,0.0,0.0
5000.0,0.0005631164584655477,0.00047159306829017155,0.0,0.0
6000.0,0.0005954260494040725,0.0005207099651100651,0.0,0.0
7000.0,0.0003952907365002244,0.0003457368785571136,0.0,0.0
8000.0,0.0010118691540625523,0.000826713926080865,0.0,0.0
9000.0,0.000624617888817955,0.0005009774709305578,0.0,0.0
10000.0,0.0003553182103893384,0.0002919979910471031,0.0,0.0
11000.0,0.0006632127726141756,0.0005462101349489626,0.0,0.0
12000.0,0.00064650728496366,0.0005327993923963841,0.0,0.0
13000.0,0.0005245830810458295,0.00039321202397204504,0.0,0.0
14000.0,0.0003435016666184443,0.0002884874152569805,0.0,0.0
15000.0,0.00031696006981051395,0.00020606106229701862,0.0,0.0
16000.0,0.00029407718757152267,0.00022633341677822584,0.0,0.0
17000.0,0.0003933676498852737,0.0002855440811404576,0.0,0.0
18000.0,0.0003818659195056092,0.0002737354281831312,0.0,0.0
19000.0,0.00031564106179585974,0.00022703930249173452,0.0,0.0
20000.0,0.00043313814868936834,0.0002967405291906726,0.0,0.0
